,Дата,Вакансия,ЗП,Компания,Рейтинг компании,Необходимый уровень,Место работы,Тип занятости
74,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
75,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
76,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
77,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
78,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
79,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
80,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
81,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
82,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
83,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
84,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
85,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
86,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
87,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
88,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
89,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
90,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
91,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
92,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
93,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
94,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
95,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
96,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
97,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
98,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
99,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
100,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
101,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
102,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
103,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
104,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
105,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
106,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
107,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
108,8 июля,Маркетинговый аналитик ,от 60 000 ₽,МТС,4.76,Средний (Middle),Грозный,Грозный
109,8 июля,Инженер систем мониторинга,,Цифровой аудит,,Старший (Senior),Москва,Полный рабочий день
110,8 июля,ML Engineer (TTS Text-to-speech),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
111,8 июля,Менеджер по внутренним коммуникациям (IT),,ЛАНИТ,4.67,Средний (Middle),Москва,Полный рабочий день
112,8 июля, Разработчик Node.js (офис),,Совкомбанк Технологии,4.76,Старший (Senior),Санкт-Петербург,Полный рабочий день
113,8 июля,DevOps Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
114,8 июля,Системный архитектор,,БФТ - Холдинг,4.45,Ведущий (Lead),,Можно удаленно
115,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
116,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
117,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
118,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
119,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
120,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
121,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
122,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
123,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
124,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
125,8 июля,Сетевой инженер,,Резонит,,Средний (Middle),Москва,Полный рабочий день
126,8 июля,Техлид в Yandex Network Blockstore (C++),,Яндекс,3.6,Ведущий (Lead),Москва,Можно удаленно
127,8 июля,Эксперт по Информационной Безопасности,,Лаборатория Касперского,4.2,Информационная безопасность,Москва,Москва
128,8 июля,Инженер данных DWH в Вертикали,,Яндекс,3.6,SQL,Москва,Санкт-Петербург
129,8 июля,CIO в торгово-производственный холдинг (СПб),,EvoHiring,,Управление людьми,Санкт-Петербург,Полный рабочий день
130,8 июля,"Middle/Senior Business Analyst [МедиаСкаут, МТС Веб Сервисы]",,МТС,4.76,Средний (Middle),Москва,Можно удаленно
131,8 июля,Data Engineer,,Bell Integrator,4.56,Старший (Senior),Москва,Полный рабочий день
132,8 июля,.Net Developer,,Bell Integrator,4.56,Средний (Middle),Москва,Можно удаленно
